pathway	GeneSetCollection	direction	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	FDR_global
FISCHER_DREAM_TARGETS	PATHWAYS	Up	0.00139664804469274	0.00840653338188665	0.645284621160378	3.13152143315945	0	843	KIF23,HNRNPU,CCDC18,SFPQ,EXOC4,KIF20B,RTTN,NEIL3,BRCA2,RAD54B,MKI67,TOP1,ATAD2,CENPH,SMC4,KNTC1,SYNCRIP,ACTL6A,CENPE,DTL,TIMELESS,MPHOSPH9,CCDC14,RFWD3,CISD2,RIF1,ZNF146,HNRNPH3,TOP2A,TRIM59,FAR1,NAP1L1,UHRF1,BCLAF1,ESCO2,PTBP2,FAM111A,ECT2,MCM7,FBXO5,STIL,SHCBP1,FAM76B,MAT2A,PNN,THRAP3,SMC2,CDCA2,G2E3,NUCKS1,PRR11,KIAA0101,GNL3,CHCHD3,RAD18,HEATR1,SCLT1,RAD51AP1,CEP55,WHSC1,POLA1,POLE,NCAPG2,ZNF367,NIPBL,FANCI,KIF18A,SRSF7,PRIM1,KIF15,FIGNL1,GEN1,SGOL1,PSIP1,MCM3,PRC1,WDR76,LIN54,DEK,EXO1,MIS18BP1,MYC,ZNF207,KIF4A,MCM4,BIRC5,E2F7,HNRNPD,CENPF,HSPD1,E2F1,MTBP,NOTCH2,NEK2,AURKB,CCDC34,TTLL4,IFRD1,HMGXB4,TPX2,GPATCH4,CBX3,EIF2AK3,HIRIP3,KIF14,INCENP,MMS22L,MCM6,USP1,PHTF2,ATAD5,TIPIN,BRD8,CDCA8,CCNB2,FANCD2,GINS1,NCAPH,LMNB1,SMC1A,IFT80,KIF20A,CDC45,IPO11,HSP90AA1,NUSAP1,HAUS5,FANCB,ASF1B,CCNB1,PRKDC,HIST1H2AJ,PRIM2,HIST1H2AD,MAD2L1,OIP5,HJURP,NCAPD2,TCP1,STMN1,CDCA7,LIN9,RPA2,HELLS,MCM5,SIVA1,CHEK1,CEP192,C5orf34,AHCTF1,WDR46,SPAG5,SUZ12,HNRNPR,CDK4,HNRNPF,UBE2T,NUP54,NUF2,DBF4,G3BP1,BUB1,CNTROB,DNA2,HMGB2,CEP152,TOPBP1,GABPB2,CKAP2,PDS5B,EIF3A,RBBP6,EZH2,CEP135,MSH3,UNG,MASTL,E2F8,DUT,DLGAP5,POLD1,NAA15,BAZ1B,EXOSC2,NOP58,TTK,PLK1,DDX46,MCM2,KIF22,HSPA8,PPP3CB,CDC6,HNRNPA0,MSH6,HSPA9,C1orf112,UBE2C,HIST1H2AE,HNRNPAB,BARD1,SKA3,UBE2D3,RRM1,FBXL20,DDX21,TK1,LRRCC1,RMI1,AURKA,PBRM1,PBK,HAUS6,RACGAP1,TMPO,CENPQ,APOBEC3B,DEPDC1B,TNPO3,TUBB,R3HDM1,KIFC1,HIST1H4A,UACA,ANAPC1,NUP160,PLK4,SMCHD1,DHFR,ASPM,NASP,TRA2B,ZWILCH,SF3B3,HAUS1,CEP57,CHAF1A,GAS2L3,EXOSC8,THEM4,BRIP1,SPC25,CTCF,TACC3,SLBP,SPAG9,RAD23B,KHDRBS1,ALMS1,POLA2,HNRNPA2B1,RFC4,ARID2,CUL3,TRIP13,FAM64A,CCNA2,FAM178A,PCF11,SRSF1,MYBL2,INTS7,CASP2,CDC7,KHSRP,MTF2,MIS18A,SNRPD1,NUP85,ZMYND19,PSMC3IP,SAP30,NUP205,CDC25B,LBR,PAICS,VRK1,RFC3,HIST1H3C,SRSF3,GSTCD,PASK,UCHL5,IQGAP3,SLC38A1,CDCA5,SUV39H2,SLC1A4,DYRK1A,SS18,NCAPD3,SRSF2,RPIA,NDC80,PIM1,BRCA1,BUB1B,THOC1,HAUS3,LARP7,ARHGAP11A,PRPF4,CHTF18,MTHFD1,RSBN1,DCK,CCDC77,HSPE1,MSH2,CEP97,HIST3H2A,CKAP2L,UTP15,CKS1B,PSRC1,POLE2,RAPGEF6,RAD21,TAF5,BRIX1,HIST1H4C,WDHD1,NUP153,DHX15,CDT1,FEN1,CDCA3,EME1,HAT1,CCHCR1,CDC20,RSRC1,KIF11,SUPT16H,GMNN,DDX10,DDX11,ATF7IP,WBP11,EAF2,RBBP4,NUP155,CENPA,CEP57L1,CCNF,ANKRD17,SENP1,KPNB1,CBX5,TRIM37,PARP2,XRCC2,RRM2,ORC6,DNMT3B,WEE1,CDC25C,SSRP1,FAM83D,NUP43,HNRNPH1,SAE1,ESPL1,GRPEL2,RANBP1,CDK1,DCLRE1A,PNRC2,NCAPG,HIST2H2AC,POU2F1,RNF26,SLC1A5,CNOT1,HIST1H2AC,BIRC6,MNS1,CASP8AP2,SKP2,DDX20,KIAA1524,RAD51,MRPL17,LONP1,MCM8,NFATC2IP,ZRANB3,GINS2,RNF2,MXD3,STAG1,UBE2S,IFRD2,PRKRIR,ODF2,TSEN15,CEP78,SMC6,SMC3,TCERG1,CDKN2C,RFC1,HLTF,MCM10,WDR4,SLC25A36,PHF19,HIST1H1D,SASS6,ERCC6L,PTBP1,MRE11A,H2AFZ,PCNA,SUV39H1,SRSF10,TFAP4,CENPK,GART,TTF2,TWISTNB,DEPDC1,ATF2,ZNF184,MYADM,LRRC45,ZWINT,HMMR,CENPM,SMARCC1,NOC3L,MND1,PBX3,C5orf24,CENPW,H2AFV,MUTYH,ABCE1,TDP1,SKA1,TRAIP,DSCC1,NUP98,CIT,PKMYT1,ILF3,ZNF473,TCF19,FKBP7,SP1,CDK5RAP2,RBM8A,EIF3B,RNPC3,ARL6IP6,DTYMK,HAUS7,NUP88,FANCM,FANCL,RFT1,C9orf40,CSE1L,DSN1,HCFC1,NUDC,POLQ,HAUS4,CCNE1,RAD54L,XRCC6BP1,EIF4E,CHEK2,TCOF1,CKAP5,CCT5,CENPO,CTDSPL2,IQCB1,NEDD1,UBR7,TAF1A,PPAT,CKS2,TMEM209,SMPD4,MIIP,TONSL,NXT1,DNAJC9,CAND1,CENPN,CACYBP,MDM1,PIGA,CREBZF,CLIC4,SHMT2,CLSPN,TARS,SMC5,CFLAR,SPC24,ERI1,NUFIP2,CIRH1A,RBL1,DZIP3	0.00906107970899282
HALLMARK_G2M_CHECKPOINT	HALLMARK	Up	0.000677966101694915	0.0018896447467876	0.735862960714427	3.12367667967162	0	188	KIF23,HNRNPU,SFPQ,KIF20B,DMD,YTHDC1,BRCA2,MKI67,TOP1,SMC4,SYNCRIP,CENPE,ATRX,PRPF4B,NCL,TOP2A,FBXO5,STIL,SMC2,WHSC1,POLE,KIF15,MCM3,PRC1,EXO1,MYC,KIF4A,BIRC5,HNRNPD,CENPF,E2F1,NOTCH2,NEK2,AURKB,KIF5B,ARID4A,TPX2,INCENP,MCM6,DKC1,CCNB2,LMNB1,SMC1A,CDC45,NUSAP1,PRIM2,MAD2L1,STMN1,RPA2,MCM5,CHEK1,SLC12A2,SLC7A1,CDK4,DBF4,G3BP1,BUB1,CUL4A,PDS5B,XPO1,EZH2,MNAT1,CBX1,GSPT1,TTK,PLK1,MCM2,KIF22,HSPA8,CDC6,UBE2C,BARD1,AURKA,PBK,RACGAP1,TMPO,CCND1,PLK4,NASP,HUS1,TRA2B,CHAF1A,PURA,CTCF,TACC3,RAD23B,POLA2,CUL3,CCNA2,SRSF1,MYBL2,CDC7,MTF2,SNRPD1,SAP30,CDC25B,LBR,SLC38A1,SS18,SRSF2,NDC80,ZAK,CKS1B,RAD21,CDC20,KIF11,CENPA,CCNF,KPNB1,ORC6,E2F3,ESPL1,CDK1,CASP8AP2,PAFAH1B1,UCK2,GINS2,STAG1,UBE2S,HIRA,ODF2,CDKN2C,H2AFZ,SUV39H1,SRSF10,CUL5,HMMR,ODC1,SMARCC1,H2AFV,TRAIP,NUP98,ILF3	0.00644221399337361
HALLMARK_E2F_TARGETS	HALLMARK	Up	0.000680272108843537	0.0018896447467876	0.733051579867914	3.11903663622345	0	193	BRCA2,NOP56,MKI67,ATAD2,SMC4,SYNCRIP,CENPE,TIMELESS,TOP2A,NAP1L1,MCM7,PNN,RAD51AP1,POLE,PMS2,PSIP1,MCM3,DEK,MYC,KIF4A,MCM4,WDR90,BIRC5,HNRNPD,LIG1,AURKB,MMS22L,MCM6,USP1,TIPIN,CDCA8,IPO7,CCNB2,GINS1,LMNB1,SMC1A,RBBP7,CCP110,ASF1B,PRKDC,PRIM2,MAD2L1,NCAPD2,STMN1,RPA2,HELLS,MCM5,CHEK1,SPAG5,CDK4,UBE2T,HMGB2,PDS5B,XPO1,EZH2,UNG,E2F8,DUT,DLGAP5,POLD1,GSPT1,PLK1,MCM2,KIF22,NUDT21,BARD1,TK1,AURKA,RACGAP1,TMPO,TUBB,LYAR,PLK4,RAN,NASP,HUS1,TRA2B,EXOSC8,SPC25,CTCF,TACC3,SLBP,POLA2,TRIP13,SRSF1,MYBL2,DONSON,LUC7L3,PSMC3IP,NUP205,CDC25B,LBR,PAICS,RFC3,SRSF2,NME1,SHMT1,BRCA1,BUB1B,DCK,MSH2,CKS1B,RAD21,NUP153,CDCA3,CDC20,RAD50,CBX5,RRM2,ORC6,WEE1,SSRP1,ESPL1,RANBP1,CDK1,MXD3,STAG1,UBE2S,MLH1,RPA1,SMC6,SMC3,CDKN2C,RFC1,MRE11A,H2AFZ,PCNA,TFRC,SUV39H1,ING3,DEPDC1,HMMR,CENPM,PHF5A,DSCC1,CIT,ILF3,NBN,TCF19,PPM1D,PRDX4,ASF1A,XRCC6,CDKN1B,CSE1L,CCNE1,CHEK2,UBR7,CKS2,MTHFD2	0.00644221399337361
ZHANG_TLX_TARGETS_60HR_DN	PATHWAYS	Up	0.000740740740740741	0.00579430670339761	0.696623534930068	3.05779912225445	0	263	TIMM9,MKI67,RBBP8,CENPH,SMC4,SYNCRIP,DTL,TIMELESS,RIF1,TOP2A,PARP1,NAP1L1,UHRF1,FAM111A,ECT2,MCM7,SHCBP1,THRAP3,SMC2,NUCKS1,RAD18,RAD51AP1,CEP55,POLA1,POLE,NCAPG2,FANCI,SRSF7,PRIM1,FIGNL1,SGOL1,MCM3,DEK,EXO1,MCM4,ATM,WDR90,BIRC5,CENPF,LIG1,AURKB,HMGXB4,INCENP,MMS22L,MCM6,USP1,TIPIN,CCNB2,GINS1,LMNB1,IVNS1ABP,ZBTB12,CDC45,WDR33,ASF1B,TARDBP,PRIM2,HJURP,HSPA4,NCAPD2,CDCA7,RPA2,MCM5,CHEK1,TNRC6A,SLC12A2,EPRS,WDR46,SPAG5,HNRNPR,NUF2,DBF4,BUB1,DNA2,HMGB2,TOPBP1,EZH2,UNG,MASTL,SON,NSUN2,E2F8,DUT,POLD1,EXOSC2,TTK,PLK1,MCM2,KIF22,CDC6,MSH6,RRM1,DDX21,TK1,PBK,HAUS6,RACGAP1,TMPO,LYAR,NUP160,PLK4,DHFR,NASP,HUS1,ZWILCH,DHX36,MRPL50,TACC3,POLA2,ZNF280D,RFC4,TRIP13,FAM64A,CCNA2,SRSF1,MYBL2,INTS7,NUP85,ZMYND19,VRK1,RFC3,SRSF3,WDR77,UCHL5,LAMP3,CDCA5,SHMT1,BRCA1,BUB1B,LARP7,DCK,POLE2,WDR43,WDHD1,CDT1,FEN1,SYCE2,EME1,HAT1,ETAA1,KIF11,GMNN,NUP155,CBX5,RRM2,WEE1,CDV3,NUP43,PDZRN3,NCAPG,CASP8AP2,SKP2,DDX20,KIAA1524,RAD51,UMPS,UCK2,FRMD4B,IFRD2,SMC6,RFC1,MCM10,SASS6,ERCC6L,MRE11A,CENPK,GART	0.00657320407655978
PUJANA_XPRSS_INT_NETWORK	PATHWAYS	Up	0.000639795265515035	0.00558800217852383	0.737669203940426	3.0449581896363	0	157	KIF20B,BRCA2,MKI67,TOP1,RBBP8,SMC4,KNTC1,HMGN1,TIMELESS,MPHOSPH9,RIF1,TOP2A,MAT2A,PNN,SMC2,KIAA0101,RAD51AP1,WHSC1,POLA1,POLE,FANCI,PSIP1,FUBP1,DEK,MCM4,ATM,AURKB,CBX3,SNRPA1,MCM6,USP1,ZNF43,GINS1,KIAA0922,LMNB1,SMC1A,USP49,PRKDC,MAD2L1,NCAPD2,STMN1,MCM5,SLC7A1,SUZ12,DNA2,HMGB2,TOPBP1,XPO1,EZH2,UNG,DUT,DDX46,MCM2,UBE2C,RRM1,AURKA,TMPO,KIFC1,PLK4,DHFR,NASP,CEP57,CHAF1A,EXOSC8,SPC25,CTCF,SRSF11,RFC4,CCNA2,MYBL2,DDX39B,CASP2,CDC7,MTF2,ZNF131,LBR,PAICS,ATP11B,RFC3,SRSF3,RPIA,NDC80,BRCA1,LARP7,PRPF4,MSH2,RAD21,CDC20,RBBP4,CENPA,CCNF,ESPL1,CDK1,SKP2,CNTRL,NFATC2IP,ZNF330,UBE2S,RPA1,SMC3,TCERG1,CDKN2C,MRE11A,PCNA,SRSF10,TTF2,ZWINT,HMMR	0.00644221399337361
CHANG_CYCLING_GENES	PATHWAYS	Up	0.000607164541590771	0.00558800217852383	0.751100044093666	3.02383389544092	0	134	KIF23,KIF20B,ATAD2,SMC4,CDKL5,TOP2A,UHRF1,ESCO2,G2E3,PRR11,KIAA0101,RAD51AP1,PRIM1,WDR76,EXO1,MCM4,BIRC5,CENPF,E2F1,TPX2,MCM6,USP1,DKC1,PHTF2,TIPIN,CDCA8,CCNB2,NCAPH,LMNB1,NUSAP1,ASF1B,ILF2,PRIM2,MAD2L1,HJURP,NCAPD2,CDCA7,HELLS,MCM5,SPAG5,UBE2T,NUF2,BUB1,CKAP2,EZH2,DLGAP5,PLK1,KIF22,CDC6,UBE2C,BARD1,SKA3,RRM1,FBXL20,AURKA,PBK,CENPQ,DEPDC1B,TUBB,KIFC1,LYAR,DHFR,GAS2L3,TSN,TACC3,RFC4,TRIP13,FAM64A,CCNA2,ARL4A,DONSON,CDCA5,MLLT6,BUB1B,CKAP2L,PSRC1,FEN1,GMNN,CENPA,CCNF,RRM2,CDC25C,FAM83D,CDK1,HIST1H2AC,MCM8,GINS2,UBE2S,PCNA,PRPS2,DEPDC1,HMMR,CENPM,PWP1,MND1	0.00644221399337361
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	PATHWAYS	Up	0.000986193293885602	0.00656191179376254	0.637306893022	2.97993330474184	0	519	MYB,KIF23,CCDC18,KIF20B,BRCA2,LGR5,MKI67,ANXA2,ATAD2,CENPH,SMC4,TGIF2,KNTC1,CENPE,DTL,TIMELESS,NFIB,SERTAD4,RIF1,NCL,CEP70,TOP2A,TRIM59,UHRF1,MTSS1,ESCO2,FAM111A,ECT2,MCM7,FBXO5,STIL,SHCBP1,SMC2,CDCA2,NUCKS1,IGF1R,PRR11,KIAA0101,RAD18,RAD51AP1,CEP55,WHSC1,POLA1,PABPC1,POLE,PMS2,NCAPG2,ZNF367,FANCI,KIF18A,RC3H2,PRIM1,FIGNL1,SGOL1,MCM3,PRC1,ANKLE1,WDR76,LIN54,EXO1,MIS18BP1,KIF4A,MCM4,LDHB,WDR90,BIRC5,E2F7,CENPF,LIG1,E2F1,NEK2,AURKB,CCDC34,TTLL4,TAF15,TPX2,GPATCH4,SNX7,HIRIP3,INCENP,MMS22L,MCM6,USP1,CHSY1,DKC1,ATAD5,TIPIN,CDCA8,CCNB2,FANCD2,GINS1,BORA,PLAGL1,NCAPH,LMNB1,TRMT61A,ZBTB12,KIF20A,CDC45,NUSAP1,HAUS5,ASF1B,CCNB1,NUP210,PRIM2,MAD2L1,OIP5,HJURP,NCAPD2,STMN1,CDCA7,LIN9,DOCK5,RPA2,HELLS,MCM5,SIVA1,CHEK1,CEP192,SPAG5,UBE2T,NUP54,NUF2,DBF4,BUB1,DNA2,HMGB2,CEP152,CKAP2,XPO1,EZH2,UNG,ZNF704,DUT,DLGAP5,POLD1,NOP58,TTK,PLK1,MCM2,KIF22,DCTD,CDC6,MSH6,C1orf112,UBE2C,DIEXF,SKA3,RRM1,TK1,AURKA,PBK,HAUS6,RACGAP1,CENPQ,DEPDC1B,STAMBPL1,LYAR,PLK4,DHFR,ASPM,NASP,ZWILCH,HAUS1,GAS2L3,EXOSC8,SPC25,TACC3,SLBP,SMO,POLA2,NMRAL1,RFC4,TRIP13,FAM64A,CCNA2,ROCK1,ERI2,CPNE8,MYBL2,CDC7,MIS18A,NUP85,PSMC3IP,CDC25B,NSL1,VRK1,RFC3,PASK,TEAD1,UCHL5,IQGAP3,CDCA5,SUV39H2,SHMT1,NDC80,BUB1B,HAUS3,ZAK,LARP7,KITLG,ARHGAP11A,CHTF18,CCDC77,CKAP2L,CKS1B,PSRC1,POLE2,TAF5,WDHD1,CDT1,KIAA0586,FEN1,CDCA3,EME1,HAT1,ETAA1,CDC20,POLR2A,KIF11,C5orf45,GMNN,DDX11,GEMIN2,RBBP4,RAD50,MATR3,CENPA,SART3,GPC6,CCNF,XRCC2,RRM2,NOC2L,WEE1,CDC25C,FAM83D,NUP43,PDZRN3,ESPL1,CDK1,NCAPG,RNF26,CTC1,MNS1,SKP2,DDX20,KIAA1524,CEP89,RAD51,SLC1A3,MCM8,UMPS,ZRANB3,GINS2,MXD3,ZC3H4,STAG1,IFRD2,HIRA,PRKRIR,TDP2,RPA1,LIMCH1,CDKN2C,MCM10,PHF19,SASS6,ERCC6L,RBM10,TERF1,MRE11A,H2AFZ,SUV39H1,RRP1B,CENPK,TTF2,DEPDC1,HMMR,ODC1,CENPM,CENPI,CENPW,SKA1,TRAIP,DSCC1,CIT,CHAF1B,PKMYT1	0.00779871275822693
KONG_E2F3_TARGETS	PATHWAYS	Up	0.000557103064066852	0.00558800217852383	0.777790895863117	2.96274644118883	0	93	MYB,MKI67,RBBP8,CENPH,TOP2A,FAM111A,SHCBP1,SMC2,KIAA0101,RAD51AP1,NCAPG2,SRSF7,PRIM1,FIGNL1,PSIP1,MCM3,PRC1,TAF1D,CENPF,TPX2,INCENP,USP1,NCAPH,LMNB1,KIF20A,NUSAP1,ASF1B,CCNB1,HIST1H2AD,NCAPD2,MAPK8,UBE2T,NUF2,BUB1,DNA2,HMGB2,EZH2,DLGAP5,PLK1,CDC6,UBE2C,TK1,AURKA,PBK,RACGAP1,CENPQ,NASP,SPC25,TACC3,CCNA2,CDC7,IQGAP3,CDCA5,BRCA1,BUB1B,DCK,FEN1,CDCA3,SYCE2,CDC20,KIF11,CCNF,E2F3,NCAPG,SKP2,RAD51,MED1,ERCC6L,CENPK,DEPDC1,HMMR,RPL3,CHAF1B,CBX2,HIST1H4B,CCNE1,RAD54L	0.00644221399337361
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	PATHWAYS	Up	0.000607164541590771	0.00558800217852383	0.728417566170665	2.93251710466783	0	134	KIF23,KIF20B,MKI67,ATAD2,SMC4,CENPE,DTL,TOP2A,ECT2,FBXO5,STIL,SHCBP1,SMC2,KIAA0101,RAD51AP1,CEP55,FANCI,KIF15,PRC1,KIF4A,MCM4,BIRC5,CENPF,E2F1,NEK2,AURKB,TPX2,KIF14,CDCA8,CCNB2,GINS1,NCAPH,LMNB1,KIF20A,NUSAP1,ASF1B,CCNB1,MAD2L1,OIP5,HJURP,HELLS,CHEK1,SPAG5,DBF4,BUB1,DNA2,HMGB2,EZH2,E2F8,DLGAP5,TTK,PLK1,MCM2,CDC6,UBE2C,TK1,AURKA,PBK,RACGAP1,TMPO,APOBEC3B,KIFC1,DHFR,ASPM,TACC3,POLA2,TRIP13,CCNA2,MYBL2,SLC38A1,NDC80,BRCA1,BUB1B,MRPS15,FEN1,CDCA3,CDC20,KIF11,GMNN,CENPA,CCNF,RRM2,DNMT3B,ESPL1,CDK1,NCAPG,UBE2S,MCM10,ERCC6L,H2AFZ,PCNA,ZWINT,HMMR,CENPM	0.00644221399337361
ZHANG_TLX_TARGETS_36HR_DN	PATHWAYS	Up	0.000651465798045603	0.00558800217852383	0.699075958602032	2.92610405953444	0	175	KIF23,HNRNPU,MKI67,RBBP8,QSER1,CENPH,SMC4,CENPE,DTL,TIMELESS,PRPF4B,UPF3B,RIF1,TOP2A,BCLAF1,PIK3R1,FAM111A,SHCBP1,SMC2,PHIP,RBM26,RAD51AP1,CEP55,POLA1,POLE,NCAPG2,FANCI,KIF18A,TPR,PRIM1,FIGNL1,SGOL1,PSIP1,PRC1,DEK,EXO1,MIS18BP1,ZNF207,MCM4,ATM,CENPF,LIG1,MTBP,HMGXB4,TPX2,INCENP,MMS22L,USP1,TIPIN,GINS1,CDC45,NUSAP1,TARDBP,ZNF292,ZC3H7A,CHEK1,SLC12A2,MPHOSPH8,SPAG5,SUZ12,SERBP1,ESF1,BUB1,DNA2,XPO1,EZH2,MASTL,CNTLN,NAA15,THOC2,TTK,DDX46,ASH1L,HAUS6,TMPO,CENPQ,LYAR,PLK4,NASP,ZWILCH,UPF2,SPC25,APC,PNPT1,ZNF280D,TRPM7,TRIP13,CCNA2,CHD1,ROCK1,ERI2,SRSF1,CEBPZ,TUBGCP5,NUP85,SUV39H2,SHMT1,BRCA1,WDHD1,HAT1,SMARCAD1,KIF11,FMR1,LIMS1,SCAF11,UBE2V2,NCAPG,POU2F1,CASP8AP2,KIAA1524,TGS1,STAG1,SMC6,SMC3,RFC1,EEA1,MCM10,SASS6,ERCC6L,CENPK,CUL4B,DEPDC1,HMMR,PCM1,PPIG	0.00644221399337361
