pathway	GeneSetCollection	direction	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	FDR_global
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	PATHWAYS	Up	0.000386697602474865	0.012422564048719	0.598959288926663	2.25418870456869	0	75	C3AR1,FPR1,NOV,MSR1,CXCL2,CD300LF,UPP1,DAB2,MPEG1,EGR1,ARG2,SAMHD1,CCR5,CPT1A,SLC11A1,MRC1,TPD52,CYBB,ANXA4,STX3,P2RY14,GCNT2,S100A4,ZFP36,HIST1H1C,VCAN,PSAP,SLFN12L,PLSCR1,DUSP1,PILRB,SIRPA,LPL,BTG2,TLR2,ANXA1,CSF1R,CAMK2D,IL18,MYADM	0.016312239608072
HECKER_IFNB1_TARGETS	PATHWAYS	Up	0.000386996904024768	0.012422564048719	0.599334855848855	2.24441640904406	0	73	FCER1A,SIGLEC1,C3AR1,RTP4,GP9,DDX60,CXCL10,ISG15,RSAD2,EGR1,LGALS3BP,CCL2,IRF7,TREML1,SH3BGRL2,OAS2,IFIT2,OAS3,PARP12,C1QB,PROS1,TNFAIP6,DHX58,EIF2AK2,PNPT1,XAF1,PLSCR1,HERC6	0.016312239608072
GO_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	GO_BP	Up	0.000393081761006289	0.0165782618544246	0.672045902043435	2.22526752827652	0	40	SFRP1,NOG,CAV1,WNT5A,BMPER,CHRDL1,LEMD3,HIPK2,SOST,FBN1,ABL1,TOB1,SKI,TWSG1,FZD1,SFRP2,SMAD7,GREM1,CTDSPL2	0.016312239608072
GO_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	GO_BP	Up	0.000386100386100386	0.0165782618544246	0.753470651056803	2.20529994406169	0	23	LPO,RTP4,TAS1R3	0.016312239608072
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	PATHWAYS	Up	0.000376647834274953	0.012422564048719	0.47633745563403	2.20076046724015	0	315	CPA3,MAP1B,C3AR1,DPYD,MSR1,TMEM47,PAM,MS4A6A,TIMP3,RGS4,DAB2,ETV5,SPARC,HTR2B,MAF,SGK1,ERG,PDE10A,SPON1,FN1,ADORA3,COL8A2,ROR1,COL5A1,HEG1,SEC23A,COL6A1,MSN,PLAUR,ZEB2,HSD17B11,ABCC4,ENTPD1,CELF2,KIAA1462,ISLR,NNMT,FGL2,LAPTM5,LGALS1,SGCB,PLAU,BICC1,F2R,OLFML3,COL4A2,FCGR2A,FBN1,AKT3,LHFP,ANGPTL2,TMEM204,PKD2,ELK3,TM6SF1,PDGFRA,EDNRA,WWTR1,C1QB,CD93,COLEC12,CDH11,PROS1,CH25H,P2RY14,DSE,MICAL2,TLR7,S100A4,NID1,ANKRD6,DCN,SNAI2,CFH,SLC9A6,SRPX2,DACT1,FBLN2,TGFB1I1,FERMT2,TNFAIP6,DNM3,VCAN,IFI16,COL4A1,PMEPA1,LOXL2,MEIS2,TRPC1,CTGF,LCP2,GLRX,ACSL4,COL3A1,SMAD7,TGM2,LDB2,GREM1,TGFBR2,NDN,QKI,IRAK3,PALLD,COL15A1,OLFML2B,MEF2C,PARVA,KCND2,LOXL1,SHOX2,RCBTB2,MAFB,MXRA8,SPOCK1,ASPN,FCER1G,BGN,MMP2,SERPINF1,GLS,TFEC,KCNJ2,GPNMB,PTRF,ANXA1,LOX,FYN,SLC7A7,LYN,IL18,GLIPR1,ADAM12,HPGDS,FAS	0.016312239608072
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	PATHWAYS	Up	0.000378644452858766	0.012422564048719	0.448866362549084	2.13218640755962	0	421	MAP1B,DPYD,DCBLD2,ASB1,PTX3,CXCL2,IGF2BP3,SFRP1,RGS4,B3GNT5,UPP1,DAB2,AGPS,AK5,ETV5,SPARC,PIM1,PTGS2,CAV1,MID1,SNX7,SGK1,ZDHHC2,MET,BCHE,CTSC,DMD,PAPPA,FLRT2,EPHA2,TNFAIP3,CCDC88A,COL5A1,CEP170,CPNE2,HEG1,ZC3H12C,WNT5B,COL6A1,PICALM,MSN,PLAT,OSMR,HSD17B11,ADORA2B,ABCC4,HRH1,NNMT,FAM69A,INPP1,KDELC2,IL6,ACTA2,FAM57A,EDIL3,MCFD2,KIAA1033,SLIT2,SLC35B4,SGCB,PLAU,VCL,BICC1,CNRIP1,NT5E,MCAM,SPAG9,COL4A2,PFKP,FBN1,AKT3,LHFP,CAV2,FOSL1,TGFB1,ARSJ,AKR1C3,ELK3,MDFIC,ALKBH5,WWTR1,ADAMTS12,RUNX2,SOAT1,FAT4,RAB31,UBE2G1,SH3KBP1,TEAD1,PRKD3,MSRB3,CDH11,CHSY1,PROS1,SDCBP,SERPINE1,AP1S2,DSE,MPP1,NAV1,AIDA,SNAI2,ECHDC1,NR3C1,GULP1,TWSG1,SPTBN1,FAM126A,TGFB1I1,ACTG1,GJA1,IFI16,COL4A1,LOXL2,PRR16,ASAP1,TAP2,EMILIN2,PDP1,AAK1,ANKRD33B,ANXA5,GPR161,DKK3,GALNT2,SPATS2L,TGFBR2,GPRC5B,NDEL1,PNMA2,QKI,GNG2,RAB8B,MAPRE1,NCAPG,DNM1,PARVA,BICD2,BASP1,LAYN,SLC25A37,ARAP3,SRPX,TGFB2,LOXL1,SHOX2,GXYLT2,MTMR2,GPX8,BCAT1,MYLK,BNC2,NAP1L5,KLHL29,CHST2,SNRPD1,TRIO,MAP7D1,MMP2,EYA4,PRKCA,SFPQ,GLS,NAB1,PTRF,KANK2,ANXA1,NAV3,DENND5A,FLNC,LYN,FAM132B,COL13A1,AKAP12,GLIPR1,KIRREL,STK10,FAS,FSCN1,PELO,RFTN1,IGFBP6,CLIP2,ITGAV,EIF5A2	0.016312239608072
LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS	PATHWAYS	Up	0.000396353547364249	0.012422564048719	0.733319975879671	2.13180646406138	0	23	CPA3,CAMP,FPR1,CTSG,CTSC,MPO,CYBB	0.016312239608072
DAUER_STAT3_TARGETS_UP	PATHWAYS	Up	0.000388802488335925	0.012422564048719	0.619392044225904	2.11424322845906	0	45	TEAD4,MAFF,THBS1,CCL2,ADM,HEG1,CEBPD,ICAM1,FOSL1,SOD2,STAT2,ATF3,C3,ZFP36,FEM1C,EFNA1,STAT3,SFN,SLC4A7,FLNB,EFNB2,AKAP12,NPC1,CTSB	0.016312239608072
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK	Up	0.000390472471690746	0.00228717807968528	0.4847966684683	2.11297801167687	0	186	PTX3,SFRP1,TIMP3,RGS4,DAB2,SPARC,IGFBP4,SFRP4,WNT5A,THBS1,VCAM1,FN1,COL8A2,ENO2,TNFAIP3,COL5A1,PLAUR,AREG,SAT1,NNMT,APLP1,IL6,ACTA2,EDIL3,LGALS1,ITGB1,VEGFC,SLIT2,SGCB,CAPG,NT5E,COL4A2,FBN1,ECM1,TGFB1,FBLN1,CXCL6,FBLN5,PLOD1,CDH11,COL5A3,SERPINE1,DCN,PFN2,SNAI2,SLIT3,ITGA5,FBLN2,TAGLN,FERMT2,NOTCH2,LAMA2,VCAN,GJA1,CDH6,COL4A1,PMEPA1,CXCL12,LOXL2,TNC,CTGF,COL3A1,ITGA2,TGM2,GREM1,TFPI2,COL12A1,BMP1,BASP1,MMP14,LOXL1,RHOB,MYLK,SPOCK1,BGN,TNFRSF11B,MMP2,SLC6A8,PLOD2,MGP,LOX,FLNA,FOXC2,GLIPR1,SDC1,ADAM12,FAS,COL16A1,CDH2,ITGAV	0.016312239608072
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	GO_BP	Up	0.000391236306729264	0.0165782618544246	0.535406940416903	2.11178555754934	0	96	NOV,SFRP1,NOG,CAV1,WNT5A,MECOM,BMPER,ZNF451,CHRDL1,BAMBI,LEMD3,HIPK2,SOST,FBN1,CAV2,TGFB1,ABL1,HTRA4,SNX6,LTBP1,TOB1,CHST11,SKIL,SKI,TWSG1,TGFB1I1,FZD1,SFRP2,PMEPA1,SMAD7,CD109,GREM1,TGFBR2,CTDSPL2	0.016312239608072
